ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.5,1.0,0.3862978779130765,1.0,0.6473474415473474,0.0,1.0,1.0,0.0,0
1.0,1.0,0.31438058454681167,1.0,0.5145453712144609,0.0,1.0,0.0,0.0,0
0.0,1.0,0.5061223807381009,1.0,0.5615373753170179,0.0,1.0,0.0,0.0,0
1.0,1.0,0.5061406973851463,1.0,0.7518191989805305,0.0,1.0,1.0,0.0,0
1.0,1.0,0.23770142036752007,1.0,0.4951551092753031,1.0,1.0,0.0,0.0,0
1.0,1.0,0.44800752974454816,1.0,0.7813002665972877,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.5720664144953842,1.0,0.5613839527180129,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.3277659806999754,0.0,0.4355985872976041,0.0,1.0,0.0,0.0,0
0.0,1.0,0.7254039338474811,1.0,0.6689408788512972,1.0,1.0,0.0,0.0,0
1.0,1.0,0.4223133773188088,1.0,0.7651337254560616,1.0,1.0,0.0,0.0,0
0.5,1.0,0.45060353187116536,1.0,0.5873194368584174,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.5452137924785716,1.0,0.5168040404838902,1.0,1.0,0.0,0.0,0
0.0,0.6666666666666666,0.30169727120085205,1.0,0.5663093399846552,1.0,1.0,0.0,0.0,0
0.5,1.0,0.3720599058175007,1.0,0.552782416142575,1.0,1.0,0.0,1.0,0
0.0,1.0,0.5893744715022665,1.0,0.7243886615417425,1.0,1.0,0.0,0.0,0
0.5,1.0,0.2648368988525782,1.0,0.5946540042827428,0.0,1.0,0.0,1.0,0
1.0,0.3333333333333333,0.39178990342369835,1.0,0.5076475940878047,1.0,1.0,0.0,1.0,0
0.5,1.0,0.573904447264284,1.0,0.7333887606662999,1.0,1.0,0.0,0.0,0
0.0,1.0,0.34360660089976547,1.0,0.5534642741249527,1.0,1.0,0.0,0.0,0
0.0,1.0,0.43496737245456357,1.0,0.4461530820738886,1.0,1.0,0.0,0.0,0
1.0,1.0,0.4337505012374547,1.0,0.5655119449187728,0.0,1.0,0.0,0.0,0
0.0,1.0,0.2908775902041732,1.0,0.533121664065349,0.0,1.0,0.0,0.0,0
0.5,1.0,0.5066859194942245,1.0,0.729980915307417,0.0,1.0,0.0,1.0,0
1.0,1.0,0.17186009621635856,1.0,0.591853390218604,0.0,1.0,0.0,0.0,0
0.5,1.0,0.182564680927296,1.0,0.53008622538656,0.0,1.0,1.0,0.0,0
1.0,0.6666666666666666,0.27485173541252766,1.0,0.5066393783155295,0.0,1.0,0.0,0.0,0
1.0,1.0,0.3777130062254673,1.0,0.536552441175429,1.0,1.0,0.0,0.0,0
0.5,0.3333333333333333,0.20817305699945227,1.0,0.33576857194408327,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.3480796875027273,1.0,0.45181348616407613,1.0,1.0,0.0,0.0,0
1.0,1.0,0.2065183739021144,1.0,0.5986749261946378,1.0,1.0,0.0,0.0,0
1.0,1.0,0.38211813968541897,1.0,0.600488573865184,1.0,1.0,0.0,0.0,0
1.0,1.0,0.5066736273720118,1.0,0.7176912816932653,1.0,1.0,0.0,0.0,0
0.0,1.0,0.42734366114874733,1.0,0.5564658705817396,1.0,1.0,1.0,0.0,0
0.0,1.0,0.5665861418083166,1.0,0.6231260062392576,0.0,1.0,0.0,0.0,0
0.0,1.0,0.3675515419717179,1.0,0.5642990088034243,0.0,1.0,0.0,0.0,0
0.0,1.0,0.6151751554447766,1.0,0.6971935820959514,1.0,1.0,0.0,1.0,0
0.5,0.6666666666666666,0.43875433774749895,1.0,0.6257105059337161,1.0,1.0,0.0,0.0,0
0.5,1.0,0.1143432977789419,0.0,0.4221197837996504,1.0,1.0,1.0,0.0,0
0.0,0.3333333333333333,0.5857925722434568,1.0,0.47745319094245703,1.0,1.0,0.0,0.0,0
0.0,0.6666666666666666,0.34075509683879107,1.0,0.48612606810957787,1.0,1.0,0.0,1.0,0
0.0,0.6666666666666666,0.40430192002698745,1.0,0.44746913446260217,0.0,1.0,0.0,0.0,0
0.0,0.6666666666666666,0.6701574999209776,1.0,0.561581845731657,1.0,1.0,0.0,0.0,0
0.0,0.6666666666666666,0.4299106598118283,1.0,0.5277938223409147,1.0,1.0,0.0,0.0,0
0.5,1.0,0.5622882981365258,1.0,0.70430792808698,1.0,1.0,0.0,0.0,0
0.5,1.0,0.16459948962818383,1.0,0.5182863097274204,1.0,1.0,1.0,0.0,0
0.0,1.0,0.4797601637974164,1.0,0.723394845513874,1.0,1.0,1.0,0.0,0
0.0,0.6666666666666666,0.4185024477082478,1.0,0.3917512048877547,1.0,1.0,1.0,0.0,0
0.5,1.0,0.4778267134674052,1.0,0.6290511849951801,1.0,1.0,0.0,0.0,0
1.0,1.0,0.37653890888763236,1.0,0.5686392176396802,1.0,1.0,0.0,0.0,0
1.0,1.0,0.21954635537116066,1.0,0.7659781659335507,1.0,1.0,0.0,1.0,0
1.0,1.0,0.503618529092847,1.0,0.705633283960768,1.0,1.0,0.0,0.0,0
1.0,1.0,0.492171031878399,1.0,0.6946930350620453,1.0,1.0,0.0,0.0,0
0.5,1.0,0.2009724530999123,1.0,0.4979202721280203,1.0,1.0,0.0,0.0,0
0.0,1.0,0.46943203802714384,1.0,0.5687909768973193,1.0,1.0,0.0,1.0,0
0.5,1.0,0.4193232605645576,1.0,0.6050247009271655,0.0,1.0,1.0,0.0,0
0.0,0.6666666666666666,0.37680373870771544,1.0,0.4306536660480282,1.0,1.0,1.0,1.0,0
0.5,0.6666666666666666,0.4327560511188875,1.0,0.45668949583537244,1.0,1.0,0.0,0.0,0
1.0,0.6666666666666666,0.3658219529319231,1.0,0.5437635511635025,1.0,1.0,0.0,0.0,0
0.0,0.6666666666666666,0.428792618266909,1.0,0.4778184594001692,0.0,1.0,0.0,0.0,0
1.0,0.6666666666666666,0.20503197813121785,1.0,0.5096105110712091,1.0,1.0,0.0,1.0,0
0.5,1.0,0.4035921312611265,1.0,0.6529179206999076,1.0,1.0,0.0,0.0,0
1.0,1.0,0.16563528352881954,1.0,0.6232644790930545,0.0,1.0,0.0,1.0,0
0.0,1.0,0.4888208680939601,1.0,0.6219072265460214,0.0,1.0,0.0,0.0,0
0.5,1.0,0.2299727448297114,0.0,0.508883651943953,1.0,1.0,0.0,0.0,0
1.0,1.0,0.21347356920220434,1.0,0.5773342859062751,0.0,1.0,0.0,1.0,0
0.5,1.0,0.22057695556024207,1.0,0.6175691318041373,1.0,1.0,0.0,0.0,0
0.5,1.0,0.6437289815512852,1.0,0.8452207109228747,0.0,1.0,0.0,0.0,0
0.0,1.0,0.3544594562758736,1.0,0.6253887368173615,0.0,1.0,1.0,0.0,0
0.5,1.0,0.2453370720948419,1.0,0.6525701871202342,0.0,1.0,1.0,0.0,0
1.0,1.0,0.2672417086027097,1.0,0.6615984468646061,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.15194083044165405,1.0,0.3198799161294839,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.4827085726753072,1.0,0.5067657949753617,0.0,1.0,1.0,0.0,0
1.0,1.0,0.5091442620680212,1.0,0.6825094008146826,1.0,1.0,0.0,0.0,0
1.0,1.0,0.48661914358560243,1.0,0.6832678109428731,0.0,1.0,0.0,0.0,0
0.5,1.0,0.4378474017294948,1.0,0.6627269107034414,0.0,1.0,0.0,0.0,0
0.5,1.0,0.2985011918734451,1.0,0.5614919400703291,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.1885113038834726,0.0,0.31797437122025474,1.0,1.0,0.0,0.0,0
0.0,0.6666666666666666,0.6169176677396846,1.0,0.5428944928447568,1.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.31427718923539444,1.0,0.4173165918100441,1.0,1.0,0.0,0.0,0
0.5,1.0,0.5670360305000481,1.0,0.7686352334254076,1.0,1.0,0.0,0.0,0
0.0,1.0,0.6344719592065663,1.0,0.7116644865097375,0.0,1.0,0.0,0.0,0
0.0,1.0,0.4954529812529963,1.0,0.5405972157243427,1.0,1.0,0.0,0.0,0
0.0,0.6666666666666666,0.2573399892708783,1.0,0.5023101174385688,0.0,1.0,0.0,0.0,0
0.5,0.6666666666666666,0.48984132316397383,1.0,0.5835814105779005,0.0,1.0,1.0,0.0,0
1.0,1.0,0.2264803397624233,1.0,0.5627885763550491,1.0,1.0,0.0,0.0,0
0.5,1.0,0.47750586300124337,1.0,0.6112000163005539,1.0,1.0,0.0,0.0,0
0.5,1.0,0.8157563853868455,1.0,0.6354622449100088,0.0,1.0,0.0,0.0,0
0.5,1.0,0.44196341210970214,1.0,0.5943056606470986,1.0,1.0,1.0,0.0,0
0.0,1.0,0.38245808336185133,1.0,0.5186995506145254,0.0,1.0,0.0,0.0,0
0.0,1.0,0.23361565272876894,1.0,0.5593449492796438,1.0,1.0,0.0,0.0,0
1.0,1.0,0.14511419277521792,1.0,0.6541150539764466,0.0,1.0,0.0,0.0,0
